sample-id,sample-name,transect,id,day,temp,treatment,Sample_or_Control,exp,leaf_length,leaf_area,lesion_area,healthy_area,severity,qPCR,grazing,lesion,old_area,new_area,perc_new_growth,perc_new_growth_per_day,new_growth_per_day,green_old_area,green_new_area,perc_green_old,perc_green_new,perc_green
RLM67,19C_LF_6_D2,NA,19C_LF_6,D2,19C,LF,True sample,AA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
RLM68,19C_CTRL_2_D6,NA,19C_CTRL_2,D6,19C,CTRL,True sample,AA,40.336,285.699,0,40.336,0,34972.15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
RLM69,19C_CTRL_3_D6,NA,19C_CTRL_3,D6,19C,CTRL,True sample,AA,41.65,309.589,0,309.589,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
RLM70,19C_CTRL_4_D6,NA,19C_CTRL_4,D6,19C,CTRL,True sample,AA,40.526,234.284,0,234.284,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
RLM71,19C_CTRL_6_D6,NA,19C_CTRL_6,D6,19C,CTRL,True sample,AA,40.833,322.864,0,322.864,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
RLM72,19C_MVA_2_D6,NA,19C_MVA_2,D6,19C,MVA,True sample,AA,40.391,286.56,286.56,0,100,22339061.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
RLM73,19C_MVA_3_D6,NA,19C_MVA_3,D6,19C,MVA,True sample,AA,40.164,299.546,299.55,0,100,23177441.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
RLM74,19C_MVA_4_D6,NA,19C_MVA_4,D6,19C,MVA,True sample,AA,39.648,223.904,151.128,72.776,67.4967843,199732632,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
RLM75,19C_MVA_6_D6,NA,19C_MVA_6,D6,19C,MVA,True sample,AA,40.985,318.397,299.623,18.774,94.1035877,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
RLM76,19C_LF_2_D6,NA,19C_LF_2,D6,19C,LF,True sample,AA,39.966,283.595,98.376,185.219,34.688905,254111426,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
RLM77,19C_LF_3_D6,NA,19C_LF_3,D6,19C,LF,True sample,AA,39.063,291.767,291.77,0,100,1178314.69,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
RLM78,19C_LF_4_D6,NA,19C_LF_4,D6,19C,LF,True sample,AA,39.336,213.069,34.212,178.857,16.0567703,263733019,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
RLM79,19C_LF_6_D6,NA,19C_LF_6,D6,19C,LF,True sample,AA,39.691,305.565,99.322,206.243,32.5043771,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
RLM80,NEG.D0,NA,NEG,D0,NA,NA,Control Sample,AA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
RLM81,Neg.D6,NA,NEG,D6,NA,NA,Control Sample,AA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
RLMNEG,Neg.K,NA,NEG,NA,NA,NA,Control Sample,AA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
RLM82,Neg.D2,NA,NEG,D2,NA,NA,Control Sample,AA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
